municipality,avg_price,avg_surface,population,pop_density,size,avg_income,schiphol_distance,station_count,express_train_station_count,interchange_intercity_station_count,interchange_local_train_station_count,intercity_station_count,local_train_station_count,mega_station_count,m2_price
Heumen,436401.0,151.0,16824.0,423.0,3973.0,39.1,94.55438134236059,0,0,0,0,0,0,0,2890.072847682119
Heusden,445212.0,144.0,45830.0,581.0,7886.0,37.1,74.42534123964785,0,0,0,0,0,0,0,3091.75
Hillegom,428285.0,112.0,22453.0,1747.0,1286.0,36.8,11.836962065014683,1,0,0,0,0,1,0,3823.973214285714
Hilvarenbeek,520360.0,167.0,15949.0,168.0,9487.0,39.2,96.97188508278543,0,0,0,0,0,0,0,3115.9281437125746
Hilversum,505257.0,107.0,93345.0,2047.0,4561.0,38.7,30.432715010030748,3,0,1,0,0,2,0,4722.028037383177
Hoeksche Waard,405396.0,124.0,89760.0,334.0,26854.0,39.0,63.82751030166141,0,0,0,0,0,0,0,3269.3225806451615
Hof van Twente,396306.0,155.0,35455.0,167.0,21243.0,36.7,125.6063173641187,2,0,0,0,0,2,0,2556.8129032258066
Het Hogeland,285779.0,172.0,48298.0,101.0,47674.0,32.3,168.2475292649069,10,0,0,0,0,10,0,1661.5058139534883
Hollands Kroon,379619.0,145.0,49431.0,138.0,35763.0,35.2,58.77508152805658,1,0,0,0,0,1,0,2618.062068965517
Hoogeveen,307248.0,126.0,56433.0,442.0,12754.0,32.0,127.78827369711723,1,0,0,0,0,1,0,2438.4761904761904
Hoorn,379412.0,112.0,75216.0,3692.0,2037.0,34.8,43.66383354163187,2,0,1,0,0,1,0,3387.6071428571427
Horst aan de Maas,364033.0,162.0,43641.0,231.0,18867.0,35.9,131.2858314602682,1,0,0,0,0,1,0,2247.117283950617
Houten,525070.0,124.0,50581.0,921.0,5490.0,40.6,45.32168794403223,2,0,0,1,0,1,0,4234.435483870968
Huizen,531067.0,118.0,41252.0,2609.0,1581.0,39.3,32.96866324865305,0,0,0,0,0,0,0,4500.567796610169
Hulst,287857.0,144.0,27596.0,137.0,20126.0,35.1,119.89360005790094,0,0,0,0,0,0,0,1999.0069444444443
IJsselstein,475722.0,116.0,33492.0,1594.0,2101.0,39.2,37.44032234852361,0,0,0,0,0,0,0,4101.051724137931
Kaag en Braassem,487753.0,129.0,28573.0,453.0,6313.0,39.9,15.917125761640026,0,0,0,0,0,0,0,3781.031007751938
Kampen,353228.0,127.0,55614.0,394.0,14123.0,33.9,84.7051909651014,2,0,0,0,0,2,0,2781.3228346456694
Kapelle,374884.0,137.0,13051.0,351.0,3713.0,36.6,106.83284119365584,1,0,0,0,0,1,0,2736.3795620437954
Katwijk,467919.0,107.0,66607.0,2685.0,2481.0,36.8,26.143363601177008,0,0,0,0,0,0,0,4373.07476635514
Kerkrade,242591.0,128.0,45620.0,2082.0,2191.0,29.7,184.1095671033678,4,0,0,1,0,3,0,1895.2421875
Koggenland,399324.0,148.0,23509.0,293.0,8026.0,38.0,38.90724829290659,1,0,0,0,0,1,0,2698.135135135135
Krimpen aan den IJssel,425298.0,114.0,29504.0,3845.0,767.0,36.2,45.684044263426614,0,0,0,0,0,0,0,3730.684210526316
Krimpenerwaard,420436.0,129.0,57700.0,389.0,14832.0,37.3,40.337579731552204,0,0,0,0,0,0,0,3259.1937984496126
Laarbeek,434148.0,157.0,23260.0,420.0,5535.0,36.4,105.298077478147,0,0,0,0,0,0,0,2765.2738853503183
Land van Cuijk,395464.0,151.0,91423.0,268.0,34126.0,36.1,105.7496217337852,3,0,0,1,0,2,0,2618.9668874172185
Landgraaf,271284.0,133.0,37175.0,1512.0,2458.0,32.2,180.02822377848105,1,0,0,1,0,0,0,2039.7293233082708
Landsmeer,634565.0,124.0,11705.0,522.0,2244.0,41.8,19.179942875087303,0,0,0,0,0,0,0,5117.459677419355
Lansingerland,525887.0,130.0,64754.0,1216.0,5327.0,43.4,38.29898812823958,0,0,0,0,0,0,0,4045.2846153846153
Laren,1050433.0,157.0,11712.0,944.0,1241.0,62.9,32.81894154628858,0,0,0,0,0,0,0,6690.656050955414
Leeuwarden,294731.0,114.0,127073.0,535.0,23755.0,30.3,118.44363208772721,4,0,1,0,0,3,0,2585.3596491228072
Leiden,454317.0,94.0,127089.0,5816.0,2185.0,32.2,25.32012608237848,2,0,1,0,0,1,0,4833.159574468085
Leiderdorp,460174.0,112.0,27657.0,2406.0,1150.0,38.4,22.53932583311315,0,0,0,0,0,0,0,4108.696428571428
Leidschendam-Voorburg,446942.0,104.0,77753.0,2384.0,3261.0,39.0,33.437703570831125,3,0,0,1,0,2,0,4297.5192307692305
Lelystad,372216.0,126.0,83033.0,363.0,22900.0,33.2,52.32081303274036,1,0,1,0,0,0,0,2954.095238095238
Leudal,361361.0,166.0,36141.0,222.0,16251.0,36.4,142.8875756052024,0,0,0,0,0,0,0,2176.873493975904
Leusden,464698.0,128.0,31467.0,538.0,5851.0,40.7,50.24828826509205,0,0,0,0,0,0,0,3630.453125
Lingewaard,410498.0,132.0,47220.0,762.0,6196.0,36.4,93.71655247963642,0,0,0,0,0,0,0,3109.8333333333335
Lisse,448147.0,118.0,23390.0,1490.0,1570.0,37.5,15.394534595250251,0,0,0,0,0,0,0,3797.85593220339
Lochem,500226.0,162.0,34314.0,161.0,21305.0,39.7,109.99772041842654,1,0,0,0,0,1,0,3087.814814814815
Loon op Zand,414386.0,132.0,23797.0,477.0,4992.0,36.4,77.73749498470632,0,0,0,0,0,0,0,3139.287878787879
Lopik,450717.0,138.0,14704.0,195.0,7556.0,39.4,39.176715943249675,0,0,0,0,0,0,0,3266.0652173913045
