municipality,m2_price,population,pop_density,size,avg_income,homes_per_capita,unemp_rate,net_labor_participation,multy_family,distance_to_urban_center,station_count,traffic,has_station
Kerkrade,1895.2421875,45620.0,2082.0,2191.0,29.7,0.5297457255589654,3.8,63.9,36.268465262548105,25.380133770770964,4,61.0,1
Koggenland,2698.135135135135,23509.0,293.0,8026.0,38.0,0.4169892381641074,2.7,75.7,15.9849025808426,30.853882448819533,1,68.0,1
Krimpen aan den IJssel,3730.684210526316,29504.0,3845.0,767.0,36.2,0.4261117136659436,3.2,73.6,29.7804645243398,8.412069221974141,0,,0
Krimpenerwaard,3259.1937984496126,57700.0,389.0,14832.0,37.3,0.4237435008665511,2.9,75.1,19.96728016359918,18.115493206451312,0,,0
Laarbeek,2765.2738853503183,23260.0,420.0,5535.0,36.4,0.42596732588134134,2.7,74.3,12.212353653613242,15.829177196494205,0,,0
Land van Cuijk,2618.9668874172185,91423.0,268.0,34126.0,36.1,0.43608282379707514,2.8,74.2,16.913313935988764,37.70260997955193,3,90.66666666666667,1
Landgraaf,2039.7293233082708,37175.0,1512.0,2458.0,32.2,0.48793544048419635,3.5,66.2,23.54595071393131,24.684725621727313,1,107.0,1
Landsmeer,5117.459677419355,11705.0,522.0,2244.0,41.8,0.41990602306706537,3.1,73.2,14.933875890132247,9.330804439122392,0,,0
Lansingerland,4045.2846153846153,64754.0,1216.0,5327.0,43.4,0.38399172251907215,2.9,77.8,17.87251156243716,9.164852121403976,0,,0
Laren,6690.656050955414,11712.0,944.0,1241.0,62.9,0.46738387978142076,3.1,70.0,19.473876507124587,18.489268366046154,0,,0
Leeuwarden,2585.3596491228072,127073.0,535.0,23755.0,30.3,0.5090302424590589,4.5,71.8,36.65976130109455,51.5456328580242,4,136.75,1
Leiden,4833.159574468085,127089.0,5816.0,2185.0,32.2,0.49255246323442625,4.1,74.3,59.36291894309722,15.691292132021692,2,335.0,1
Leiderdorp,4108.696428571428,27657.0,2406.0,1150.0,38.4,0.45919658675922914,3.1,74.6,42.38582677165355,19.011545225523534,0,,0
Leidschendam-Voorburg,4297.5192307692305,77753.0,2384.0,3261.0,39.0,0.4847401386441681,3.5,72.2,61.49376492438312,8.609122161053154,3,163.66666666666666,1
Lelystad,2954.095238095238,83033.0,363.0,22900.0,33.2,0.4222176724916599,3.8,71.4,19.305151463289405,40.40939925778187,1,173.0,1
Leudal,2176.873493975904,36141.0,222.0,16251.0,36.4,0.4513433496582828,2.9,71.7,12.205738106915154,35.70986550021064,0,,0
Leusden,3630.453125,31467.0,538.0,5851.0,40.7,0.4333746464550164,2.9,74.7,20.378382342157366,20.34704811864935,0,,0
Lingewaard,3109.8333333333335,47220.0,762.0,6196.0,36.4,0.43032613299449385,2.7,75.3,17.52952755905512,60.06150959356492,0,,0
Lisse,3797.85593220339,23390.0,1490.0,1570.0,37.5,0.44848225737494657,2.9,75.4,31.544327931363203,26.40923803018292,0,,0
Lochem,3087.814814814815,34314.0,161.0,21305.0,39.7,0.45013697033280875,2.9,71.8,16.547973585394278,84.30907647516604,1,60.0,1
Loon op Zand,3139.287878787879,23797.0,477.0,4992.0,36.4,0.44190444173635335,2.7,74.8,17.506656523392923,37.567502801266365,0,,0
Lopik,3266.0652173913045,14704.0,195.0,7556.0,39.4,0.3998231773667029,2.7,76.9,15.002551454328966,16.838153867676933,0,,0
Losser,2238.8246753246754,23362.0,237.0,9874.0,34.6,0.43091344919099395,2.9,72.1,15.853779676169664,106.0220738305758,0,,0
Maasdriel,3115.5486111111113,26020.0,395.0,6588.0,37.3,0.3988086087624904,2.8,75.4,8.807940637949311,37.03676915824194,0,,0
Maasgouw,2110.865030674847,24305.0,532.0,4570.0,36.4,0.4633614482616746,2.9,69.7,13.532232285562069,37.06597648963185,0,,0
Maashorst,2793.7379310344827,58934.0,429.0,13733.0,36.4,0.4413750975667696,3.0,74.4,23.031677687221283,32.19442196176123,0,,0
Maassluis,3473.862385321101,35303.0,4180.0,844.0,34.7,0.4547772144010424,3.6,71.9,48.44596698847711,15.548493353187736,0,,0
Maastricht,3344.1696428571427,122734.0,2200.0,5579.0,29.5,0.5245653201231932,4.4,66.1,50.304432916032425,0.6164037956527111,3,185.0,1
Medemblik,2822.9861111111113,46031.0,380.0,12123.0,35.8,0.42262822880232886,3.0,73.5,13.745245193790481,41.41364435812154,0,,0
Meerssen,2347.0509554140126,18600.0,696.0,2673.0,37.3,0.4668817204301075,2.9,70.9,17.549516351911564,7.323061707139514,2,80.0,1
Meierijstad,2923.6711409395975,83715.0,455.0,18400.0,37.3,0.42713970017320674,2.8,75.2,18.043514737960738,19.055242451196378,0,,0
Meppel,3156.535087719298,35464.0,639.0,5550.0,33.8,0.4621588089330025,3.2,74.5,26.55887736424649,61.370723533515,1,202.0,1
Middelburg,3003.008695652174,49956.0,1033.0,4838.0,33.7,0.4895908399391464,3.0,73.0,31.167716084716655,73.96071873492178,2,92.0,1
Midden-Delfland,3749.3283582089553,19472.0,413.0,4719.0,42.1,0.4138249794576828,2.6,77.0,23.25639116406056,11.766017664786911,0,,0
Midden-Drenthe,2339.5320512820513,33987.0,100.0,34062.0,35.2,0.43263600788536793,2.8,72.4,11.853917301414581,39.24319319445696,1,72.0,1
Midden-Groningen,2132.715277777778,61554.0,221.0,27795.0,31.7,0.4644214835753972,3.6,70.1,20.995557421205444,16.32544444110127,4,125.75,1
