code,station_name,type,geo_lat,geo_lng,municipality,station_code,traffic_count
HGZ,Hoogezand-Sappemeer,interchange_local_train_station,53.159818131676,6.7707538604736,Midden-Groningen,HGZ,45937.0
HKS,Hoogkarspel,local_train_station,52.69055557251,5.1838889122009,Drechterland,HKS,30432.0
HN,Hoorn,interchange_intercity_station,52.644721984863,5.0555553436279,Hoorn,HN,77481.0
HNK,Hoorn Kersenboogerd,local_train_station,52.653610229492,5.0855555534363,Hoorn,HNK,44161.0
HRT,Horst-Sevenum,local_train_station,51.426387786865,6.0422220230103,Horst aan de Maas,HRT,30907.0
HTN,Houten,interchange_local_train_station,52.03402,5.16821,Houten,HTN,62423.0
HTNC,Houten Castellum,local_train_station,52.01701,5.17949,Houten,HTNC,60775.0
SGL,Houthem-St. Gerlach,local_train_station,50.873332977295,5.7972221374512,Valkenburg aan de Geul,SGL,26535.0
HDG,Hurdegaryp,local_train_station,53.2187783,5.934543,Tytsjerksteradiel,HDG,22642.0
IJT,IJlst,local_train_station,53.0146614,5.6160801,Súdwest-Fryslân,IJT,15375.0
KPN,Kampen,local_train_station,52.559722900391,5.9216666221619,Kampen,KPN,25305.0
KPNZ,Kampen Zuid,local_train_station,52.5331,5.91309,Kampen,KPNZ,27543.0
BZL,Kapelle-Biezelinge,local_train_station,51.480834960938,3.9561111927033,Kapelle,BZL,29488.0
KRD,Kerkrade Centrum,interchange_local_train_station,50.861667633057,6.0574998855591,Kerkrade,KRD,25770.0
KTR,Kesteren,local_train_station,51.9313869,5.5833465,Neder-Betuwe,KTR,19389.0
KBK,Klarenbeek,local_train_station,52.17805480957,6.0836110115051,Voorst,KBK,18837.0
KMR,Klimmen-Ransdaal,local_train_station,50.866390228271,5.8905553817749,Voerendaal,KMR,26689.0
KZ,Koog aan de Zaan,local_train_station,52.458610534668,4.8055553436279,Zaanstad,KZ,36407.0
KMW,Koudum-Molkwerum,local_train_station,52.9028197,5.4106913,Súdwest-Fryslân,KMW,16215.0
KBD,Krabbendijke,local_train_station,51.433334350586,4.1169443130493,Reimerswaal,KBD,29058.0
KMA,Krommenie-Assendelft,local_train_station,52.49511,4.75417,Zaanstad,KMA,36409.0
KW,Kropswolde,local_train_station,53.1617362,6.7220882,Midden-Groningen,KW,45936.0
KRG,Kruiningen-Yerseke,local_train_station,51.465000152588,4.0372223854065,Reimerswaal,KRG,29490.0
ZLW,Lage Zwaluwe,interchange_local_train_station,51.69111251831,4.6630554199219,Moerdijk,ZLW,51175.0
LG,Landgraaf,interchange_local_train_station,50.896389007568,6.019166469574,Landgraaf,LG,39173.0
LLZM,Lansingerland-Zoetermeer,local_train_station,52.042222,4.517222,Zoetermeer,LLZM,34133.0
LDM,Leerdam,local_train_station,51.894721984863,5.0913887023926,Vijfheerenlanden,LDM,22946.0
LW,Leeuwarden,interchange_intercity_station,53.195835113525,5.7922220230103,Leeuwarden,LW,133999.0
LWC,Leeuwarden Camminghaburen,local_train_station,53.2021808,5.8422968,Leeuwarden,LWC,22540.0
LEDN,Leiden Centraal,interchange_intercity_station,52.166110992432,4.4816665649414,Leiden,LEDN,206022.0
LDL,Leiden Lammenschans,local_train_station,52.146945953369,4.4924998283386,Leiden,LDL,38741.0
LLS,Lelystad Centrum,interchange_intercity_station,52.507778167725,5.4727778434753,Lelystad,LLS,63219.0
LTV,Lichtenvoorde-Groenlo,local_train_station,52.01188,6.59641,Oost Gelre,LTV,22908.0
LC,Lochem,local_train_station,52.166667938232,6.4263887405395,Lochem,LC,22085.0
LP,Loppersum,local_train_station,53.3347145,6.7472625,Eemsdelta,LP,22300.0
LTN,Lunteren,local_train_station,52.085277557373,5.6244444847107,Ede,LTN,27281.0
MZ,Maarheeze,local_train_station,51.304986,5.629796,Cranendonck,MZ,21567.0
MRN,Maarn,interchange_local_train_station,52.064167022705,5.3699998855591,Utrechtse Heuvelrug,MRN,26976.0
MAS,Maarssen,local_train_station,52.135276794434,5.0336112976074,Stichtse Vecht,MAS,35122.0
MT,Maastricht,interchange_intercity_station,50.850276947021,5.7055554389954,Maastricht,MT,109460.0
MTN,Maastricht Noord,local_train_station,50.87087,5.71774,Maastricht,MTN,26535.0
MTR,Maastricht Randwyck,interchange_local_train_station,50.838611602783,5.7172222137451,Maastricht,MTR,66849.0
MG,Mantgum,local_train_station,53.1296368,5.7131996,Leeuwarden,MG,20967.0
MRB,Mariënberg,,52.50944519043,6.5752778053284,Hardenberg,MRB,45662.0
MTH,Martenshoek,local_train_station,53.1607232,6.7402989,Midden-Groningen,MTH,45935.0
MES,Meerssen,express_train_station,50.882879392551,5.7509994506836,Meerssen,MES,33082.0
MP,Meppel,interchange_local_train_station,52.69083404541,6.1975002288818,Meppel,MP,73780.0
MDB,Middelburg,local_train_station,51.494720458984,3.6172223091126,Middelburg,MDB,38453.0
MMLH,Mook-Molenhoek,local_train_station,51.766262,5.879133,Mook en Middelaar,MMLH,33202.0
NDB,Naarden-Bussum,interchange_local_train_station,52.280277252197,5.1569442749023,Gooise Meren,NDB,65656.0
NA,Nieuw Amsterdam,express_train_station,52.718612670898,6.8486108779907,Emmen,,27180.0
NVP,Nieuw Vennep,local_train_station,52.258888244629,4.6455554962158,Haarlemmermeer,NVP,41069.0
NWK,Nieuwerkerk a/d IJssel,local_train_station,51.965278625488,4.6169443130493,Zuidplas,NWK,28932.0
NKK,Nijkerk,local_train_station,52.222221374512,5.4938888549805,Nijkerk,NKK,26622.0
NM,Nijmegen,interchange_intercity_station,51.843612670898,5.8522224426269,Nijmegen,NM,149995.0
NMD,Nijmegen Dukenburg,local_train_station,51.824165344238,5.7955555915833,Nijmegen,NMD,40538.0
NMGO,Nijmegen Goffert,local_train_station,51.8273,5.822722,Nijmegen,NMGO,40506.0
NMH,Nijmegen Heyendaal,local_train_station,51.826946258545,5.8674998283386,Nijmegen,NMH,33202.0
NML,Nijmegen Lent,local_train_station,51.863154,5.859625,Nijmegen,NML,35015.0
NVD,Nijverdal,local_train_station,52.366111,6.462,Hellendoorn,NVD,29905.0
NS,Nunspeet,local_train_station,52.370834350586,5.7852778434753,Nunspeet,NS,27443.0
NH,Nuth,local_train_station,50.919445037842,5.8927779197693,Beekdaelen,NH,18036.0
