municipality,avg_price,avg_surface,population,pop_density,size,avg_income,unemp_rate,net_labor_participation,nearest_city,distance_to_nearest_city,station_count,express_train_station_count,interchange_intercity_station_count,interchange_local_train_station_count,intercity_station_count,local_train_station_count,mega_station_count,total_traffic,m2_price
Gulpen-Wittem,355648.0,161.0,14210.0,194.0,7318.0,35.8,3.0,67.4,Maastricht,15.785624980182005,0,0,0,0,0,0,0,0,2208.9937888198756
Haaksbergen,371944.0,144.0,24502.0,234.0,10478.0,35.3,2.9,73.6,Utrecht,111.88248625705948,0,0,0,0,0,0,0,0,2582.9444444444443
Haarlem,507289.0,101.0,165396.0,5662.0,2921.0,37.6,3.7,75.1,Amsterdam,17.498666615974525,2,0,1,0,0,1,0,189700,5022.663366336634
Haarlemmermeer,507636.0,115.0,162300.0,823.0,19721.0,39.7,3.5,76.0,Amsterdam,16.178712625763882,4,0,0,0,0,3,1,465396,4414.226086956522
Halderberge,398819.0,142.0,31041.0,417.0,7444.0,35.6,3.1,72.7,Breda,17.096166017074076,1,0,0,0,0,1,0,24231,2808.5845070422533
Hardenberg,349124.0,142.0,62509.0,200.0,31216.0,34.8,2.9,74.9,Groningen,70.48844102567934,3,1,0,0,0,1,0,107998,2458.6197183098593
Harderwijk,437767.0,116.0,48906.0,1256.0,3892.0,35.3,3.1,74.9,Utrecht,45.73209502051127,1,0,0,1,0,0,0,26623,3773.853448275862
Hardinxveld-Giessendam,374112.0,115.0,18681.0,1108.0,1686.0,36.3,2.7,77.2,Rotterdam,27.82207040224493,3,0,0,0,0,3,0,105809,3253.1478260869567
Harlingen,298340.0,125.0,16188.0,649.0,2496.0,31.4,3.5,70.0,Groningen,74.57890013013235,2,0,0,0,0,2,0,46912,2386.72
Hattem,469519.0,139.0,12563.0,545.0,2307.0,38.0,2.8,75.7,Utrecht,76.40976533132637,0,0,0,0,0,0,0,0,3377.834532374101
Heemskerk,429159.0,113.0,39431.0,1446.0,2727.0,36.1,3.3,72.8,Amsterdam,23.672351837360203,1,0,0,0,0,1,0,27986,3797.8672566371683
Heemstede,708279.0,130.0,27778.0,3029.0,917.0,48.9,3.2,73.2,Amsterdam,19.753095448327354,1,0,0,0,1,0,0,65099,5448.3
Heerde,479099.0,129.0,19214.0,245.0,7855.0,36.1,2.6,74.3,Utrecht,72.37780575639327,0,0,0,0,0,0,0,0,3713.9457364341083
Heerenveen,362420.0,138.0,51637.0,272.0,18997.0,33.6,3.5,73.3,Groningen,46.474246706746705,3,0,0,0,1,1,0,70719,2626.231884057971
Heerlen,246595.0,115.0,87122.0,1940.0,4491.0,29.3,4.1,64.0,Maastricht,20.022701589564207,3,0,1,0,0,2,0,145729,2144.304347826087
Heeze-Leende,482660.0,170.0,16627.0,160.0,10392.0,41.1,2.7,73.2,Eindhoven,10.072767993447455,1,0,0,0,0,1,0,21562,2839.176470588235
Heiloo,555327.0,123.0,24319.0,1300.0,1871.0,41.3,3.0,73.0,Amsterdam,29.034295937967865,1,0,0,0,0,1,0,58409,4514.8536585365855
Den Helder,262913.0,106.0,56539.0,1254.0,4510.0,32.1,3.5,70.4,Amsterdam,62.44045972449651,2,0,0,0,1,1,0,60502,2480.311320754717
Hellendoorn,378769.0,132.0,36261.0,263.0,13793.0,35.2,2.7,75.5,Groningen,92.8451267650437,2,0,0,0,0,2,0,47682,2869.462121212121
Helmond,389050.0,121.0,94898.0,1785.0,5317.0,33.5,3.8,72.7,Eindhoven,14.851845587088581,4,0,1,0,0,3,0,119055,3215.289256198347
Hendrik-Ido-Ambacht,413446.0,120.0,32183.0,3159.0,1019.0,38.8,2.9,77.8,Rotterdam,14.422595875231071,0,0,0,0,0,0,0,0,3445.383333333333
Hengelo,323659.0,119.0,82311.0,1353.0,6084.0,32.8,3.6,73.2,Groningen,108.13710729499954,3,0,1,0,0,2,0,151541,2719.823529411765
's-Hertogenbosch,443955.0,115.0,158753.0,1450.0,10948.0,36.6,3.3,74.3,'s-Hertogenbosch,4.007881468155294,3,0,1,0,0,2,0,233699,3860.478260869565
Heumen,436401.0,151.0,16824.0,423.0,3973.0,39.1,3.0,74.1,'s-Hertogenbosch,36.56467702111954,0,0,0,0,0,0,0,0,2890.072847682119
Heusden,445212.0,144.0,45830.0,581.0,7886.0,37.1,2.8,74.4,'s-Hertogenbosch,9.864567223934467,0,0,0,0,0,0,0,0,3091.75
Hillegom,428285.0,112.0,22453.0,1747.0,1286.0,36.8,3.0,75.5,Amsterdam,23.614242337082544,1,0,0,0,0,1,0,29265,3823.973214285714
Hilvarenbeek,520360.0,167.0,15949.0,168.0,9487.0,39.2,2.5,74.9,Tilburg,13.325531573892311,0,0,0,0,0,0,0,0,3115.9281437125746
Hilversum,505257.0,107.0,93345.0,2047.0,4561.0,38.7,3.6,74.3,Utrecht,15.040367730886707,3,0,1,0,0,2,0,206476,4722.028037383177
Hoeksche Waard,405396.0,124.0,89760.0,334.0,26854.0,39.0,2.7,75.3,Rotterdam,17.174964062989307,0,0,0,0,0,0,0,0,3269.3225806451615
Hof van Twente,396306.0,155.0,35455.0,167.0,21243.0,36.7,2.8,74.4,Utrecht,101.43271831201484,2,0,0,0,0,2,0,46051,2556.8129032258066
Het Hogeland,285779.0,172.0,48298.0,101.0,47674.0,32.3,3.1,70.7,Groningen,17.79113310193402,10,0,0,0,0,10,0,243958,1661.5058139534883
Hollands Kroon,379619.0,145.0,49431.0,138.0,35763.0,35.2,2.9,73.5,Amsterdam,51.51465133711188,1,0,0,0,0,1,0,29773,2618.062068965517
Hoogeveen,307248.0,126.0,56433.0,442.0,12754.0,32.0,3.2,72.5,Groningen,55.28106382751795,1,0,0,0,0,1,0,26424,2438.4761904761904
Hoorn,379412.0,112.0,75216.0,3692.0,2037.0,34.8,3.5,72.4,Amsterdam,33.94201101777363,2,0,1,0,0,1,0,121642,3387.6071428571427
Horst aan de Maas,364033.0,162.0,43641.0,231.0,18867.0,35.9,2.8,76.2,Eindhoven,40.06247127886007,1,0,0,0,0,1,0,30907,2247.117283950617
