"Bestaande koopwoningen; gemiddelde verkoopprijzen, regio"
""
"";"";"";"Perioden"
"Liemeer";"Gemiddelde verkoopprijs";"euro";""
"Liempde";"Gemiddelde verkoopprijs";"euro";""
"Lienden";"Gemiddelde verkoopprijs";"euro";""
"De Lier";"Gemiddelde verkoopprijs";"euro";""
"Lieshout";"Gemiddelde verkoopprijs";"euro";""
"Liesveld";"Gemiddelde verkoopprijs";"euro";""
"Limmen";"Gemiddelde verkoopprijs";"euro";""
"Lingewaal";"Gemiddelde verkoopprijs";"euro";""
"Lingewaard";"Gemiddelde verkoopprijs";"euro";"410498"
"Lisse";"Gemiddelde verkoopprijs";"euro";"448147"
"Lith";"Gemiddelde verkoopprijs";"euro";""
"Littenseradiel";"Gemiddelde verkoopprijs";"euro";""
"Lochem";"Gemiddelde verkoopprijs";"euro";"500226"
"Loenen";"Gemiddelde verkoopprijs";"euro";""
"Loon op Zand";"Gemiddelde verkoopprijs";"euro";"414386"
"Loosdrecht";"Gemiddelde verkoopprijs";"euro";""
"Lopik";"Gemiddelde verkoopprijs";"euro";"450717"
"Loppersum";"Gemiddelde verkoopprijs";"euro";""
"Losser";"Gemiddelde verkoopprijs";"euro";"344779"
"Luyksgestel";"Gemiddelde verkoopprijs";"euro";""
"Maarheeze";"Gemiddelde verkoopprijs";"euro";""
"Maarn";"Gemiddelde verkoopprijs";"euro";""
"Maarssen";"Gemiddelde verkoopprijs";"euro";""
"Maartensdijk";"Gemiddelde verkoopprijs";"euro";""
"Maasbracht";"Gemiddelde verkoopprijs";"euro";""
"Maasbree";"Gemiddelde verkoopprijs";"euro";""
"Maasdonk";"Gemiddelde verkoopprijs";"euro";""
"Maasdriel";"Gemiddelde verkoopprijs";"euro";"448639"
"Maasgouw";"Gemiddelde verkoopprijs";"euro";"344071"
"Maashorst";"Gemiddelde verkoopprijs";"euro";"405092"
"Maasland";"Gemiddelde verkoopprijs";"euro";""
"Maassluis";"Gemiddelde verkoopprijs";"euro";"378651"
"Maastricht";"Gemiddelde verkoopprijs";"euro";"374547"
"Made";"Gemiddelde verkoopprijs";"euro";""
"Made en Drimmelen";"Gemiddelde verkoopprijs";"euro";""
"Margraten";"Gemiddelde verkoopprijs";"euro";""
"Mariekerke";"Gemiddelde verkoopprijs";"euro";""
"Markelo";"Gemiddelde verkoopprijs";"euro";""
"De Marne";"Gemiddelde verkoopprijs";"euro";""
"Marum";"Gemiddelde verkoopprijs";"euro";""
"Maurik";"Gemiddelde verkoopprijs";"euro";""
"Medemblik";"Gemiddelde verkoopprijs";"euro";"406510"
"Meerlo-Wanssum";"Gemiddelde verkoopprijs";"euro";""
"Meerssen";"Gemiddelde verkoopprijs";"euro";"368487"
"Meierijstad";"Gemiddelde verkoopprijs";"euro";"435627"
"Meijel";"Gemiddelde verkoopprijs";"euro";""
"Menaldumadeel";"Gemiddelde verkoopprijs";"euro";""
"Menameradiel";"Gemiddelde verkoopprijs";"euro";""
"Menterwolde";"Gemiddelde verkoopprijs";"euro";""
"Meppel";"Gemiddelde verkoopprijs";"euro";"359845"
"Middelburg (Z.)";"Gemiddelde verkoopprijs";"euro";"345346"
"Middelharnis";"Gemiddelde verkoopprijs";"euro";""
"Midden-Delfland";"Gemiddelde verkoopprijs";"euro";"502410"
"Midden-Drenthe";"Gemiddelde verkoopprijs";"euro";"364967"
"Midden-Groningen";"Gemiddelde verkoopprijs";"euro";"307111"
"Middenschouwen";"Gemiddelde verkoopprijs";"euro";""
"Middenveld";"Gemiddelde verkoopprijs";"euro";""
"Mierlo";"Gemiddelde verkoopprijs";"euro";""
"Mill en Sint Hubert";"Gemiddelde verkoopprijs";"euro";""
"Millingen aan de Rijn";"Gemiddelde verkoopprijs";"euro";""
"Moerdijk";"Gemiddelde verkoopprijs";"euro";"375225"
"Moergestel";"Gemiddelde verkoopprijs";"euro";""
"Molenlanden";"Gemiddelde verkoopprijs";"euro";"404893"
"Molenwaard";"Gemiddelde verkoopprijs";"euro";""
"Monster";"Gemiddelde verkoopprijs";"euro";""
"Montferland";"Gemiddelde verkoopprijs";"euro";"357759"
"Montfoort";"Gemiddelde verkoopprijs";"euro";"478504"
"Mook en Middelaar";"Gemiddelde verkoopprijs";"euro";"456031"
"Moordrecht";"Gemiddelde verkoopprijs";"euro";""
"Muiden";"Gemiddelde verkoopprijs";"euro";""
"Naaldwijk";"Gemiddelde verkoopprijs";"euro";""
"Naarden";"Gemiddelde verkoopprijs";"euro";""
"Neder-Betuwe";"Gemiddelde verkoopprijs";"euro";"410710"
"Nederhorst den Berg";"Gemiddelde verkoopprijs";"euro";""
"Nederlek";"Gemiddelde verkoopprijs";"euro";""
"Nederweert";"Gemiddelde verkoopprijs";"euro";"391462"
"Neede";"Gemiddelde verkoopprijs";"euro";""
"Neerijnen";"Gemiddelde verkoopprijs";"euro";""
"Niedorp";"Gemiddelde verkoopprijs";"euro";""
"Nieuwegein";"Gemiddelde verkoopprijs";"euro";"385704"
"Nieuwerkerk aan den IJssel";"Gemiddelde verkoopprijs";"euro";""
"Nieuw-Ginneken";"Gemiddelde verkoopprijs";"euro";""
"Nieuwkoop";"Gemiddelde verkoopprijs";"euro";"468956"
"Nieuw-Lekkerland";"Gemiddelde verkoopprijs";"euro";""
"Nieuwleusen";"Gemiddelde verkoopprijs";"euro";""
"Nieuw-Vossemeer";"Gemiddelde verkoopprijs";"euro";""
"Nijefurd";"Gemiddelde verkoopprijs";"euro";""
"Nijeveen";"Gemiddelde verkoopprijs";"euro";""
"Nijkerk";"Gemiddelde verkoopprijs";"euro";"478370"
